,Apprehension Date,Apprehension State,Apprehension County,Apprehension AOR,Final Program,Final Program Group,Apprehension Method,Apprehension Criminality,Case Status,Case Category,Departed Date,Departure Country,Final Order Yes No,Final Order Date,Birth Date,Birth Year,Citizenship Country,Gender,Apprehension Site Landmark,Alien File Number,EID Case ID,EID Subject ID,Unique Identifier,comparetime,method_cat,approx_age,year,month,day,standardized_date,extracted_state,time_diff,within_24h,county,flag,in_custody_arrest
0,2025-04-01 18:51:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-06-02,MEXICO,YES,2025-05-21,"(b)(6), (b)(7)(C)",1983,MEXICO,Male,henderson county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",00091834f8e68d0ddcf4a8391c3bf258657637c0,this_year,"federal, state or local incarceration",42,2025,4,01,2025-04-01,,,False,henderson county,,y
1,2024-09-25 09:17:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,E-Charging Document Canceled by ICE,[16] Reinstated Final Order,,,NO,,"(b)(6), (b)(7)(C)",1973,MEXICO,Male,nc department of corrections,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",001485b738f591ebc4f1084c55ff5507aa0f0c25,not in compare range,"federal, state or local incarceration",52,2024,9,01,2024-09-01,,,False,not listed,,y
2,2025-06-04 11:03:10,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,2 Pending Criminal Charges,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2025-06-18,GUATEMALA,YES,2019-09-06,"(b)(6), (b)(7)(C)",2001,GUATEMALA,Male,wake county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",0041b2becaebfe36b73544a40942e928ef0f6f47,this_year,"federal, state or local incarceration",24,2025,6,01,2025-06-01,,,False,wake county,,y
3,2023-12-30 17:59:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[16] Reinstated Final Order,2024-01-17,MEXICO,YES,1996-03-22,"(b)(6), (b)(7)(C)",1969,MEXICO,Male,carteret county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",004efee8da7f64f5d5f5145969e7533618046278,not in compare range,"federal, state or local incarceration",56,2023,12,01,2023-12-01,,,False,carteret county,,y
4,2023-10-25 14:25:00,north carolina,,atlanta area of responsibility,Alternatives to Detention,ICE,Non-Custodial Arrest,3 Other Immigration Violator,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,"(b)(6), (b)(7)(C)",1997,GUATEMALA,Male,"mecklenburg county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",005037502a5f7ee1ef27ae4868e82d924ac55c15,not in compare range,"non-custodial, located, traffic check or worksite enforcement",28,2023,10,01,2023-10-01,,,False,mecklenburg county,,n
5,2023-12-27 11:12:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP State Incarceration,1 Convicted Criminal,6-Deported/Removed - Deportability,[11] Administrative Deportation / Removal,2024-02-16,GUATEMALA,YES,2023-12-27,"(b)(6), (b)(7)(C)",1975,GUATEMALA,Male,nc department of corrections,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",005e3d73955a1f7bca7bfea6715bc9903e8da3f6,not in compare range,"federal, state or local incarceration",50,2023,12,01,2023-12-01,,,False,not listed,,y
6,2024-09-13 00:00:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,2024-10-23,EL SALVADOR,YES,2024-10-08,"(b)(6), (b)(7)(C)",1996,EL SALVADOR,Male,"rdu general area, non-specific","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",006523a788a51f671bb3ec91deb2f640db367687,not in compare range,"federal, state or local incarceration",29,2024,9,01,2024-09-01,,,False,wake county,,y
7,2023-11-01 10:36:00,north carolina,,atlanta area of responsibility,Fugitive Operations,ICE,Located,1 Convicted Criminal,ACTIVE,[16] Reinstated Final Order,,,NO,,"(b)(6), (b)(7)(C)",1994,MEXICO,Male,"chatham county, nc","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",007f68e94de42935c83936293873d90c965a5b5d,not in compare range,"non-custodial, located, traffic check or worksite enforcement",31,2023,11,01,2023-11-01,,,False,chatham county,,n
8,2025-07-13 12:57:00,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,1 Convicted Criminal,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,,,NO,,"(b)(6), (b)(7)(C)",1993,MEXICO,Male,iredell county jail,"(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",007f808030064889f0f091a68cb2a7146ecae42c,not in compare range,"federal, state or local incarceration",32,2025,7,01,2025-07-01,,,False,iredell county,,y
9,2025-05-09 10:16:08,north carolina,,atlanta area of responsibility,ERO Criminal Alien Program,ICE,CAP Local Incarceration,2 Pending Criminal Charges,6-Deported/Removed - Deportability,[3] Deportable - Administratively Final Order,2025-06-27,MEXICO,YES,2025-06-26,"(b)(6), (b)(7)(C)",1996,MEXICO,Male,"rdu general area, non-specific","(b)(6), (b)(7)(C)","(b)(6), (b)(7)(C), (b)(7)(E)","(b)(6), (b)(7)(C), (b)(7)(E)",0087f8e001aefd6612e923ec646625871c79e19f,this_year,"federal, state or local incarceration",29,2025,5,01,2025-05-01,,,False,wake county,,y
